Time Value,Backcase,IC_DA9313,IC_DA9313_Backcase,IC_DA9313_TP,IC_MCP,IC_MCP_Backcase,IC_MCP_TP,IC_PM8009_TP,IC_PM8009_backcase,IC_PM8009_chip,IC_PM855,IC_PM855B,IC_PM855B_Backcase,IC_PM855B_TP,IC_PM855L_backcase,IC_PM855L,IC_PM855L_TP,IC_PM855_Backcase,IC_PM855_TP,IC_SM8250_LPDDR5,IC_SM8250_LPDDR5_Backcase,IC_SM8250_LPDDR5_TP,MAIN_CAM_SENSOR,Main_CAM_SENOR_Backcase,Main_CAM_SENOR_TP,Main_Cam_MADA,Pilot_ISP,Pilot_NPU,Pilot_Tsensor0,Pilot_Tsensor2,Pilot_Tsensor3,Pilot_dram,Pilot_pmic,Pilot_pmic_Backcase,Pilot_pmic_TP,Pilot_soc_Backcase,Pilot_soc_TP,Pilot_soc_die,Sceen_ic_TP,Screen,Screen_ic,Screen_ic_Backcase,WIDE_CAM_MADA,WIDE_CAM_SENOR_Backcase,WIDE_CAM_SENOR_TP,WIDE_CAM_SENSOR,ch2,ch4,ch5,ch6,ch7
130,25.5591,26.9638,26.2791,26.2541,29.7487,26.3064,26.3904,26.3221,26.3194,27.5388,57.0263,27.0793,26.3849,26.3952,26.2177,27.5585,26.2368,26.2788,26.3745,28.0195,26.2123,26.3027,26.0299,25.2957,25.7991,25.4117,26.8364,26.851,26.8223,26.8505,26.8422,26.8203,27.0217,26.343,26.3735,26.2806,26.3346,26.841,25.8621,25.8623,25.1441,25.5592,25.5132,25.3664,26.0325,26.0583,25.3597,26.3385,25.6597,26.1193,26.1742
170,25.732,27.2039,26.5162,26.4815,29.9923,26.5494,26.6173,26.5559,26.5624,27.7881,57.2729,27.327,26.6437,26.6348,26.451,27.802,26.4604,26.5185,26.6023,28.2617,26.4434,26.5284,26.2677,25.4622,25.9917,25.6218,27.083,27.0978,27.0692,27.0975,27.0886,27.0666,27.2692,26.5989,26.6128,26.5327,26.5742,27.0877,26.0562,26.0565,25.2375,25.7321,25.7461,25.5111,26.2443,26.3065,25.5347,26.598,25.8639,26.3827,26.4082
200,25.8576,27.3659,26.6747,26.6357,30.1561,26.7101,26.7707,26.7134,26.7235,27.955,57.4383,27.4931,26.8129,26.7954,26.6076,27.9658,26.6124,26.6776,26.7563,28.4248,26.5986,26.6814,26.432,25.5908,26.127,25.7812,27.2487,27.2635,27.2351,27.2634,27.2542,27.2321,27.4353,26.7665,26.7734,26.6984,26.7353,27.2535,26.1923,26.1925,25.3135,25.8577,25.9163,25.6186,26.3901,26.4759,25.6673,26.7679,26.011,26.5593,26.5667
250,26.0554,27.6023,26.9023,26.8617,30.3941,26.9385,26.9957,26.9431,26.9531,28.1965,57.6778,27.7338,27.0507,27.028,26.8333,28.2041,26.8361,26.905,26.9819,28.6623,26.8224,26.906,26.6763,25.8028,26.3337,26.039,27.489,27.5039,27.4756,27.5039,27.4943,27.4721,27.6759,27.0025,27.0061,26.9325,26.9688,27.4938,26.3998,26.4,25.4488,26.0556,26.1802,25.7857,26.6076,26.7243,25.8824,27.0066,26.2391,26.8121,26.7982
310,26.2766,27.8522,27.1406,27.1016,30.645,27.1756,27.2344,27.1854,27.1922,28.4501,57.9298,27.9865,27.2949,27.2722,27.0703,28.4555,27.0744,27.1421,27.2211,28.9129,27.0578,27.1447,26.9373,26.0438,26.5604,26.3283,27.7416,27.7566,27.7284,27.7566,27.7469,27.7245,27.9287,27.2454,27.2506,27.1741,27.2142,27.7465,26.6271,26.6273,25.6155,26.2769,26.4674,25.9705,26.8419,26.9863,26.1245,27.2516,26.4893,27.0737,27.0427
380,26.5144,28.1102,27.3854,27.3501,30.9036,27.4176,27.4819,27.4353,27.4366,28.7106,58.1891,28.2461,27.542,27.5232,27.3142,28.7147,27.3218,27.3848,27.4689,29.1715,27.3003,27.3922,27.2075,26.3011,26.8011,26.6351,28.0013,28.0163,27.9882,28.0164,28.0065,27.9841,28.1884,27.4916,27.5018,27.4195,27.4663,28.0062,26.8682,26.8685,25.8079,26.5147,26.7657,26.1657,27.0871,27.2552,26.3822,27.4993,26.752,27.3386,27.2947
460,26.762,28.3715,27.6325,27.6023,31.1654,27.6611,27.7332,27.6882,27.6826,28.9736,58.4513,28.5082,27.7888,27.7763,27.5607,28.977,27.5735,27.6294,27.7205,29.4333,27.5458,27.6438,27.4808,26.564,27.0499,26.9475,28.2635,28.2785,28.2504,28.2786,28.2687,28.2462,28.4506,27.7378,27.7552,27.6652,27.7205,28.2684,27.1174,27.1176,26.0185,26.7624,27.0656,26.3651,27.3381,27.5255,26.6451,27.7466,27.0187,27.6026,27.5495
550,27.0131,28.6315,27.878,27.8537,31.4259,27.9025,27.9839,27.9397,27.9264,29.2348,58.712,28.7684,28.0322,28.0277,27.8058,29.238,27.8248,27.8721,27.9713,29.6938,27.79,27.8947,27.7519,26.824,27.3011,27.2563,28.5238,28.5388,28.5107,28.539,28.529,28.5064,28.7109,27.9809,28.0069,27.908,27.9727,28.5287,27.3688,27.3691,26.2393,27.0135,27.3601,26.5637,27.5896,27.7926,26.9054,27.9903,27.2826,27.8623,27.8026
650,27.2618,28.8859,28.1179,28.0998,31.6807,28.1381,28.2296,28.1856,28.1645,29.4899,58.9668,29.0226,28.2691,28.2732,28.0454,29.4934,28.0711,28.1092,28.217,29.9486,28.0288,28.1407,28.0161,27.0753,27.5492,27.555,28.7782,28.7931,28.765,28.7933,28.7833,28.7606,28.9653,28.2175,28.2526,28.1445,28.219,28.783,27.6172,27.6174,26.4629,27.2623,27.6441,26.7574,27.8369,28.0522,27.1573,28.2273,27.5383,28.1142,28.0498
750,27.4834,29.1109,28.3302,28.3176,31.906,28.3461,28.4471,28.4029,28.3748,29.7153,59.1921,29.2472,28.4778,28.49,28.2572,29.7191,28.2891,28.3185,28.4345,30.174,28.2401,28.3584,28.2489,27.2948,27.7699,27.8163,29.0028,29.0178,28.9897,29.018,29.008,28.9852,29.1899,28.4262,28.4696,28.353,28.4364,29.0077,27.8381,27.8384,26.6647,27.4839,27.8922,26.9267,28.0561,28.2807,27.3776,28.4362,27.7626,28.3356,28.2682
850,27.6806,29.3102,28.5183,28.5106,32.1057,28.5301,28.6399,28.5954,28.5612,29.915,59.3917,29.4461,28.6623,28.682,28.4448,29.9192,28.4825,28.5037,28.6273,30.3738,28.4273,28.5515,28.4546,27.4874,27.9663,28.0458,29.2018,29.2168,29.1887,29.217,29.207,29.1842,29.3889,28.6107,28.6617,28.5376,28.6289,29.2067,28.0347,28.0349,26.8456,27.6812,28.1101,27.075,28.2508,28.4826,27.5711,28.6208,27.9601,28.5312,28.4616
950,27.8562,29.4871,28.6853,28.6819,32.2829,28.6931,28.8111,28.7662,28.7265,30.0921,59.5689,29.6226,28.8258,28.8522,28.611,30.0967,28.6542,28.6678,28.7984,30.551,28.5933,28.7228,28.6369,27.657,28.1409,28.248,29.3783,29.3933,29.3651,29.3935,29.3835,29.3606,29.5654,28.7742,28.8321,28.7012,28.7995,29.3831,28.2095,28.2097,27.0074,27.8568,28.3022,27.2055,28.4237,28.6613,27.7415,28.7843,28.1343,28.7042,28.6331
1100,28.0785,29.7104,28.8953,28.8982,32.5065,28.8987,29.0272,28.9817,28.9347,30.3155,59.7923,29.8451,29.0319,29.067,28.8204,30.3207,28.8709,28.8749,29.0145,30.7747,28.8024,28.9392,28.8663,27.869,28.3618,28.5015,29.6009,29.6159,29.5877,29.6161,29.6061,29.5832,29.788,28.9803,29.0471,28.9072,29.0148,29.6057,28.4305,28.4308,27.2126,28.0792,28.543,27.3735,28.6423,28.8864,27.9548,28.9905,28.3529,28.9221,28.8494
1250,28.2657,29.8981,29.072,29.08,32.6945,29.0714,29.209,29.1629,29.1098,30.5034,59.9803,30.0322,29.2051,29.2476,28.9964,30.5091,29.0532,29.0488,29.1962,30.9628,28.9782,29.1211,29.0592,28.0465,28.5477,28.7138,29.7881,29.8031,29.7749,29.8033,29.7933,29.7703,29.9753,29.1535,29.2278,29.0804,29.1957,29.793,28.6166,28.6168,27.3855,28.2663,28.7449,27.5125,28.8261,29.0754,28.1334,29.1636,28.5362,29.1051,29.0312
1400,28.423,30.0559,29.2205,29.2328,32.8526,29.2161,29.3617,29.3151,29.2571,30.6613,60.1383,30.1895,29.3505,29.3993,29.144,30.6674,29.2064,29.1946,29.3488,31.1209,29.1257,29.274,29.2211,28.1952,28.704,28.892,29.9454,29.9604,29.9322,29.9606,29.9506,29.9276,30.1326,29.2989,29.3796,29.226,29.3477,29.9502,28.7731,28.7733,27.531,28.4236,28.9143,27.6275,28.9806,29.2342,28.283,29.3091,28.6899,29.2588,29.184
1550,28.5551,30.1884,29.3452,29.3611,32.9853,29.3373,29.49,29.4429,29.3807,30.7939,60.2709,30.3215,29.4724,29.5266,29.2678,30.8003,29.335,29.3168,29.477,31.2536,29.2493,29.4024,29.3571,28.3199,28.8354,29.0415,30.0775,30.0925,30.0642,30.0926,30.0827,30.0597,30.2647,29.421,29.507,29.3482,29.4753,30.0823,28.9045,28.9048,27.6533,28.5558,29.0564,27.723,29.1103,29.3674,28.4083,29.4311,28.8189,29.3877,29.3122
1700,28.666,30.2995,29.4498,29.4687,33.0967,29.4387,29.5976,29.5501,29.4845,30.9051,60.3822,30.4323,29.5746,29.6335,29.3714,30.9118,29.443,29.4191,29.5846,31.365,29.3529,29.5102,29.4712,28.4244,28.9456,29.1669,30.1883,30.2033,30.175,30.2034,30.1935,30.1704,30.3755,29.5233,29.614,29.4508,29.5824,30.1931,29.0149,29.0151,27.756,28.6668,29.1756,27.8025,29.2192,29.4792,28.5134,29.5335,28.9271,29.4957,29.4198
1850,28.7591,30.3927,29.5375,29.559,33.1901,29.5235,29.6878,29.6401,29.5716,30.9984,60.4755,30.5252,29.6602,29.7231,29.4581,31.0054,29.5335,29.5046,29.6748,31.4584,29.4396,29.6005,29.5668,28.5119,29.0381,29.2721,30.2812,30.2962,30.2679,30.2964,30.2865,30.2633,30.4684,29.6091,29.7036,29.5368,29.6722,30.2861,29.1075,29.1077,27.8421,28.7599,29.2756,27.8688,29.3106,29.573,28.6013,29.6193,29.0178,29.5863,29.51
2050,28.8579,30.4917,29.6304,29.6548,33.2892,29.6135,29.7836,29.7355,29.6639,31.0973,60.5745,30.6238,29.7511,29.8182,29.5501,31.1047,29.6296,29.5954,29.7705,31.5576,29.5315,29.6964,29.6684,28.6048,29.1363,29.3837,30.3798,30.3948,30.3665,30.395,30.3851,30.3619,30.567,29.7001,29.7988,29.628,29.7675,30.3846,29.2058,29.206,27.9336,28.8587,29.3816,27.9405,29.4075,29.6724,28.6946,29.7103,29.114,29.6823,29.6058
